#_prom,Player,Team_prom,GP,MIN_x,PTS,FGM_x,FGA_x,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST_x,STL,BLK,TOV,PF,#_adv,Team_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN_y,Pos,Team_x,Team_completo,Team_y,FGM_y,AST_y,FGA_y,HOB,Ast/TO,Stl/TO,FT/FGA,Posesiones_equipo,Pace_del_equipo,Puntos_Producidos,Posesiones_Ofensivas,Ofensa_Marginal,Puntos_Marginales_por_Victoria,OWS
75,CHARLIE MOORE,BRE,10,31.3,16.5,6.3,14.2,0.447,2.0,5.4,0.362,1.8,2.3,0.8,0.3,1.6,2.0,5.2,1.3,0.0,3.6,2.5,164,BRE,0.542,0.516,160.9,1.1,5.8,3.4,29.8,19.0,1.9,0.0,24.3,-0.3,1.2,99.9,114.7,-14.8,70.8,12.5,312.9,PG,BRE,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.010707635009310988,1.4444444444444444,0.3611111111111111,0.1267605633802817,1078.312,1378.0345047923322,19.1,20.412,-2.7585806179910115,6.7479733045931924,-0.4088013531578894
76,NICOLAS BRUSSINO,GCN,36,25.5,16.4,5.3,12.4,0.427,2.4,7.1,0.344,3.4,4.0,0.835,1.1,4.0,5.1,3.9,1.3,0.4,1.7,3.4,72,GCN,0.578,0.525,160.7,4.1,14.5,9.3,18.1,10.6,1.9,1.2,21.4,2.6,1.3,120.6,116.4,4.2,300.6,16.7,918.8,G,GCN,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.00856610800744879,2.2941176470588234,0.7647058823529412,0.27419354838709675,1076.3600000000001,1688.4078431372552,18.349999999999998,18.06,-0.9898964315558345,8.267812607836643,-0.11972893902040808
77,KENNY HASBROUCK,FOR,30,15.6,16.3,5.4,14.6,0.37,3.6,9.6,0.376,1.9,2.6,0.735,0.5,2.5,2.9,4.1,1.9,0.2,3.3,5.3,198,FOR,0.52,0.495,148.2,1.5,8.8,5.0,21.2,17.4,2.8,0.8,24.0,-1.6,1.1,98.1,114.7,-16.5,91.0,10.2,467.0,SG,FOR,RIO BREOGAN,RIO BREOGAN,945,551,2145,0.010052910052910053,1.2424242424242424,0.5757575757575758,0.13013698630136986,948.944,2433.1897435897436,18.35,19.844,-2.900326953919933,11.914868152904399,-0.24342081814920813
78,MARKO TODOROVIC,MUR,17,14.5,16.3,6.0,13.9,0.432,0.3,2.9,0.1,4.0,6.7,0.587,4.1,5.3,9.4,2.3,0.7,0.3,3.1,7.5,183,MUR,0.482,0.442,111.9,13.6,19.0,16.2,12.1,15.4,1.1,0.8,25.9,-4.2,1.2,97.7,110.6,-12.9,54.0,11.7,245.7,C,MUR,CB GIRONA,CB GIRONA,966,551,2215,0.008592132505175985,0.7419354838709676,0.2258064516129032,0.28776978417266186,967.948,2670.2013793103447,17.45,19.148,-3.0550020416074837,13.075469128539334,-0.2336437806991908
79,THIS DE RIDDER,BBB,33,20.7,16.3,6.1,12.1,0.502,1.4,3.6,0.391,2.7,3.3,0.81,2.7,5.5,8.3,1.0,1.1,0.5,1.3,5.2,67,BBB,0.6,0.561,170.3,9.4,19.8,14.5,5.3,8.9,1.6,1.6,19.8,-1.9,1.3,120.7,112.3,8.5,217.9,16.8,682.3,PF,BBB,BILBAO BASKET,BILBAO BASKET,958,562,2202,0.007411273486430062,0.7692307692307692,0.8461538461538461,0.22314049586776863,958.0519999999999,1851.3082125603864,16.8,14.552,1.2167124655592207,9.065504784885078,0.13421342709871448
80,DAME SARR,FCB,12,12.7,16.2,5.9,11.3,0.521,2.1,4.9,0.429,2.4,4.2,0.556,1.6,3.1,4.7,1.9,0.5,0.7,2.4,4.2,145,FCB,0.617,0.615,150.5,6.2,10.8,8.6,7.3,15.2,0.7,2.2,19.7,-3.0,1.4,114.0,116.8,-2.8,37.0,13.0,153.0,F,FCB,BARCA,BARCA,1151,637,2259,0.0067767158992180715,0.7916666666666666,0.20833333333333334,0.21238938053097342,1153.6480000000001,3633.537007874016,17.15,15.048000000000002,1.0355613786239068,17.79274078052223,0.05820134128843934
81,BRUNO FITIPALDO,TEN,32,23.4,16.2,4.8,10.8,0.446,3.1,7.1,0.439,3.4,4.0,0.845,0.4,1.9,2.3,6.6,1.2,0.0,2.8,3.8,74,TEN,0.644,0.592,173.1,1.6,7.3,4.6,29.9,18.2,1.9,0.0,21.5,4.8,1.5,124.7,119.9,4.8,240.5,16.5,747.5,PG,TEN,LENOVO TENERIFE,LENOVO TENERIFE,1088,682,2154,0.010477941176470587,2.357142857142857,0.4285714285714286,0.31481481481481477,1092.1599999999999,1866.940170940171,19.5,19.16,-1.0178524711301087,9.142051516827175,-0.11133742456565841
82,DAVID KRAVISH,UNI,29,17.0,16.0,6.6,12.8,0.517,0.8,3.1,0.262,1.9,2.0,0.929,2.5,4.6,7.1,3.4,0.8,0.9,2.2,3.3,82,UNI,0.581,0.548,170.8,8.4,16.9,12.5,15.4,13.7,1.2,2.8,20.0,0.3,1.2,115.8,111.8,4.0,175.3,15.9,493.6,PF,UNI,UCAM MURCIA CB,UCAM MURCIA CB,992,575,2230,0.010080645161290322,1.5454545454545452,0.36363636363636365,0.14843749999999997,992.58,2335.4823529411765,17.7,17.080000000000002,-0.5904446872078459,11.436413613874299,-0.051628483119177934
83,TRENT FORREST,BASK,32,27.6,16.0,5.8,11.8,0.495,1.4,3.2,0.443,2.9,3.6,0.807,0.8,3.7,4.4,6.1,2.4,0.4,2.4,2.1,26,BASK,0.598,0.555,174.5,2.8,12.6,7.8,28.2,15.3,3.6,1.0,20.3,4.6,1.4,121.9,114.7,7.2,361.8,19.2,884.0,SG,BASK,BASKONIA,BASKONIA,1077,609,2244,0.011049210770659238,2.5416666666666665,1.0,0.24576271186440676,1080.1840000000002,1565.4840579710149,19.05,19.484,-1.8148140682410805,7.665878173019032,-0.2367392263848562
84,MIKE TOBEY,GCN,36,20.5,15.9,6.8,11.9,0.574,0.7,2.8,0.259,1.5,2.2,0.689,3.3,5.3,8.6,2.1,0.7,1.3,1.5,4.0,27,GCN,0.618,0.605,152.1,12.1,19.4,15.8,10.5,10.5,1.0,4.0,19.4,-0.3,1.3,125.2,115.4,9.9,285.4,19.1,738.3,C,GCN,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.008286778398510242,1.4000000000000001,0.4666666666666666,0.12605042016806722,1073.1680000000001,2093.986341463415,16.95,14.968,0.9212309087747634,10.253853501663432,0.08984240984380328
