#_prom,Player,Team_prom,GP,MIN_x,PTS,FGM_x,FGA_x,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST_x,STL,BLK,TOV,PF,#_adv,Team_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN_y,Pos,Team_x,Team_completo,Team_y,FGM_y,AST_y,FGA_y,HOB,Ast/TO,Stl/TO,FT/FGA,Posesiones_equipo,Pace_del_equipo,Puntos_Producidos,Posesiones_Ofensivas,Ofensa_Marginal,Puntos_Marginales_por_Victoria,OWS
102,JUSTIN ANDERSON,FCB,31,19.4,15.5,5.3,10.5,0.503,2.1,4.2,0.493,2.9,3.3,0.873,1.2,3.5,4.7,1.4,0.5,0.5,1.2,3.2,110,FCB,0.65,0.603,186.9,4.5,12.0,8.4,5.8,9.1,0.7,1.6,17.0,-0.8,1.5,129.2,116.5,12.6,164.9,14.5,602.0,F,FCB,BARCA,BARCA,1151,637,2259,0.005821025195482189,1.1666666666666667,0.4166666666666667,0.2761904761904762,1152.452,2376.1896907216496,16.2,13.352,1.9017554178220646,11.63574971735241,0.16344072913376387
103,LUDDE HAKANSON,MUR,33,22.8,15.4,5.0,12.4,0.402,2.6,7.5,0.35,2.8,3.1,0.922,0.3,2.4,2.7,5.0,1.3,0.2,2.0,3.6,126,MUR,0.561,0.508,167.4,0.9,8.3,4.6,24.0,12.8,2.0,0.7,20.3,3.7,1.2,114.3,110.3,4.1,206.5,13.8,753.2,PG,MUR,CB GIRONA,CB GIRONA,966,551,2215,0.010351966873706004,2.5,0.65,0.2258064516129032,969.0640000000001,1700.1122807017543,17.9,18.764000000000003,-2.193788296883376,8.32512701611586,-0.263514093254868
104,BOJAN DUBLJEVIC,ZAR,26,24.6,15.4,5.4,10.4,0.516,1.9,4.7,0.41,2.8,3.5,0.79,2.3,4.6,6.9,3.1,0.7,0.4,2.6,1.9,83,ZAR,0.646,0.609,171.6,8.0,16.1,12.0,13.6,17.9,1.0,1.3,18.0,-1.4,1.5,122.2,119.9,2.3,225.0,15.9,638.7,FC,ZAR,CASADEMONT ZARAGOZA,CASADEMONT ZARAGOZA,1094,635,2299,0.007769652650822669,1.1923076923076923,0.2692307692307692,0.2692307692307692,1095.84,1781.853658536585,16.95,15.040000000000001,0.8441283316389949,8.725399022072073,0.0967438084497521
105,EDO MURIC,FOR,30,18.2,15.3,5.1,12.8,0.4,3.0,8.8,0.338,2.0,2.9,0.705,1.8,3.7,5.5,0.9,1.3,0.3,1.3,4.5,184,FOR,0.541,0.515,144.3,5.9,13.0,9.3,4.6,8.5,1.8,1.1,19.5,-1.9,1.2,109.0,114.2,-5.3,121.8,11.7,546.9,F,FOR,RIO BREOGAN,RIO BREOGAN,945,551,2145,0.006349206349206349,0.6923076923076923,1.0,0.15625,945.776,2078.6285714285714,15.75,14.976,-0.28733604424031967,10.178649417982797,-0.02822928980466486
106,OLLE LUNDQVIST,LBC,25,15.9,15.3,5.9,10.6,0.556,0.8,2.4,0.333,2.7,3.3,0.833,2.0,4.0,6.0,2.8,1.2,1.6,1.9,4.9,73,LBC,0.636,0.594,172.2,6.9,13.4,10.2,13.1,13.7,1.7,5.4,17.8,-0.1,1.4,122.4,122.2,0.2,136.8,16.6,398.4,SG,LBC,CB CORUNA,CB CORUNA,1036,695,2234,0.008397683397683396,1.4736842105263157,0.631578947368421,0.25471698113207547,1037.352,2609.690566037736,16.7,14.852,0.7954517274935071,12.779159165920277,0.06224601455898868
107,DOMINIK MAVRA,BRE,25,19.9,15.2,5.1,11.5,0.449,1.5,5.0,0.304,3.4,4.9,0.691,1.2,3.6,4.7,6.7,1.3,0.1,2.4,2.7,75,BRE,0.559,0.516,144.5,4.0,12.0,8.1,32.5,14.9,2.0,0.5,21.0,5.7,1.3,117.9,118.8,-1.0,179.3,16.4,496.5,SF,BRE,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.010986964618249535,2.791666666666667,0.5416666666666667,0.2956521739130435,1077.356,2165.5396984924623,18.55,20.356,-3.248611946885415,10.604236704266041,-0.3063503802756979
108,SANTIAGO YUSTA,ZAR,34,25.3,15.1,5.2,12.3,0.427,1.8,6.2,0.284,2.9,3.8,0.747,1.2,4.1,5.2,2.6,1.9,0.3,3.0,3.7,175,ZAR,0.54,0.498,145.8,4.1,14.6,9.3,11.0,17.6,2.8,0.9,21.0,-3.5,1.2,103.8,116.3,-12.4,205.9,11.9,858.6,SF,ZAR,CASADEMONT ZARAGOZA,CASADEMONT ZARAGOZA,1094,635,2299,0.007129798903107862,0.8666666666666667,0.6333333333333333,0.23577235772357721,1097.472,1735.1335968379444,16.4,16.572000000000003,-1.346443170749911,8.496619751280967,-0.15846809792175512
109,ALEIX FONT,LBC,29,13.4,15.1,5.7,12.6,0.456,2.3,6.5,0.357,1.3,1.8,0.737,1.5,1.8,3.3,1.8,1.0,0.0,1.8,6.3,204,LBC,0.565,0.548,155.0,4.9,6.4,5.6,8.7,11.6,1.5,0.0,19.1,-1.4,1.2,108.4,127.7,-19.3,62.9,9.9,389.5,SG,LBC,CB CORUNA,CB CORUNA,1036,695,2234,0.00723938223938224,1.0,0.5555555555555556,0.10317460317460318,1037.0919999999999,3095.7970149253724,16.0,15.192,-0.2686437756476323,15.15953014275492,-0.017721114910413185
110,JOHNNY HAMILTON,FOR,10,10.8,15.0,5.7,9.0,0.63,0.0,0.0,0.0,3.7,4.7,0.786,1.7,7.0,8.7,0.3,0.3,1.3,2.7,5.3,125,FOR,0.679,0.63,141.5,5.6,24.2,14.8,1.8,19.4,0.5,4.1,17.8,-6.9,1.7,111.8,116.4,-4.7,30.3,13.9,107.9,C,FOR,RIO BREOGAN,RIO BREOGAN,945,551,2145,0.006349206349206349,0.1111111111111111,0.1111111111111111,0.41111111111111115,948.068,3511.3629629629627,15.15,11.368,2.976359765563304,17.194477681371314,0.17309974869361253
111,KAISER GATES,MUR,15,25.6,14.9,4.9,12.2,0.4,3.8,9.3,0.414,1.3,1.8,0.737,1.7,4.2,5.9,1.3,1.0,0.4,0.9,3.1,128,MUR,0.575,0.558,155.1,5.5,14.0,9.7,6.0,6.7,1.5,1.1,17.8,-0.2,1.2,120.4,109.5,10.8,108.6,13.8,383.8,SF,MUR,CB GIRONA,CB GIRONA,966,551,2215,0.006418219461697723,1.4444444444444444,1.1111111111111112,0.10655737704918034,965.992,1509.3624999999997,15.55,14.292,0.24513843854950323,7.391061560166759,0.0331668782019957
112,XABIER LOPEZ-AROSTEGUI,VAL,32,14.9,14.9,4.6,10.6,0.433,1.7,4.5,0.367,4.0,5.4,0.736,1.8,6.6,8.4,2.7,1.3,0.0,2.6,3.5,133,VAL,0.57,0.511,153.5,6.0,20.5,13.4,10.6,16.9,1.9,0.0,19.0,-2.3,1.4,114.0,109.4,4.6,148.0,13.4,476.9,GF,VAL,VALENCIA BASKET,VALENCIA BASKET,1242,785,2576,0.005877616747181964,1.0384615384615385,0.5,0.37735849056603776,1245.176,3342.754362416107,16.25,15.675999999999998,-0.536944433060313,16.368833380406254,-0.032802852871790106
113,KAMAR BALDWIN,BASK,18,22.8,14.8,6.1,13.6,0.445,1.5,4.7,0.321,1.2,1.7,0.737,0.5,3.5,4.0,4.9,1.2,0.5,2.9,3.8,172,BASK,0.517,0.5,150.3,1.8,12.0,7.0,22.6,16.8,1.8,1.5,22.2,1.1,1.1,103.0,115.9,-12.9,103.1,12.0,409.8,SG,BASK,BASKONIA,BASKONIA,1077,609,2244,0.01021355617455896,1.6896551724137934,0.41379310344827586,0.08823529411764706,1080.1480000000001,1894.9964912280702,17.25,19.247999999999998,-3.3620889542960484,9.279437989857755,-0.362316010729394
114,YOUSSOUPHA FALL,FCB,31,13.3,14.8,6.1,9.5,0.642,0.0,0.0,0.0,2.6,3.9,0.667,4.3,7.1,11.3,0.4,0.6,1.0,2.4,4.6,63,FCB,0.66,0.642,130.9,16.4,24.1,20.5,1.9,17.9,0.9,3.1,17.7,-5.9,1.6,121.0,112.0,9.1,150.6,16.9,412.9,C,FCB,BARCA,BARCA,1151,637,2259,0.005647263249348393,0.16666666666666669,0.25,0.2736842105263158,1150.816,3461.100751879699,15.0,11.616,2.5607842220956503,16.948353177637784,0.15109339504881414
115,JOEL PARRA,FCB,31,21.1,14.8,5.3,10.1,0.53,1.3,3.5,0.375,2.8,3.1,0.893,1.4,5.8,7.2,1.9,1.8,0.3,1.0,1.9,41,FCB,0.645,0.596,179.8,5.1,19.6,12.6,8.1,8.0,2.7,1.0,16.0,0.8,1.5,133.6,109.3,24.3,252.5,18.3,653.2,F,FCB,BARCA,BARCA,1151,637,2259,0.006255430060816681,1.9,1.8,0.2772277227722772,1151.964,2183.8180094786726,15.75,13.364,1.438904988299436,10.693742122424338,0.13455579644866425
116,MARCO SPISSU,ZAR,34,22.6,14.8,4.9,10.9,0.446,2.6,6.7,0.387,2.4,2.8,0.881,0.6,2.1,2.7,7.1,1.7,0.0,3.7,3.9,122,ZAR,0.608,0.564,171.5,2.1,7.6,4.8,29.9,23.4,2.5,0.2,19.6,2.8,1.4,115.3,119.5,-4.3,232.4,13.9,767.9,PG,ZAR,CASADEMONT ZARAGOZA,CASADEMONT ZARAGOZA,1094,635,2299,0.010968921389396709,1.9189189189189186,0.45945945945945943,0.2201834862385321,1098.332,1943.950442477876,18.35,19.232,-2.2449550482658793,9.51915619360319,-0.23583550922028934
117,JOE THOMASSON,GCN,35,21.3,14.7,5.3,10.9,0.484,1.3,3.8,0.342,2.8,3.3,0.853,0.4,3.6,4.0,3.2,1.3,0.2,2.6,3.7,147,GCN,0.594,0.544,167.9,1.6,13.1,7.4,15.1,17.5,1.9,0.8,20.2,-1.3,1.3,109.8,117.0,-7.2,179.3,13.0,744.2,G,GCN,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.007914338919925512,1.2307692307692308,0.5,0.2568807339449541,1077.6519999999998,2023.759624413145,16.3,15.552,-0.3541566613264848,9.90996660313047,-0.03573742228501657
118,ALEX REYES,MAN,28,18.7,14.6,4.4,12.1,0.364,3.0,8.5,0.347,2.9,3.4,0.84,1.4,5.4,6.7,1.2,1.4,0.0,1.2,3.4,170,MAN,0.538,0.486,155.0,4.5,19.3,11.5,5.4,8.3,2.0,0.0,18.1,-1.1,1.2,114.6,109.7,4.9,136.3,12.1,524.1,SF,MAN,BAXI MANRESA,BAXI MANRESA,1002,593,2262,0.005588822355289421,1.0,1.1666666666666667,0.2396694214876033,1003.296,2146.0877005347593,15.2,14.796,-0.6445796014008938,10.508983963871588,-0.06133605338221735
119,EMANUEL CATE,MAN,34,17.3,14.6,5.9,9.5,0.615,0.0,0.2,0.0,2.9,3.6,0.797,4.2,5.6,9.8,2.1,1.0,1.0,1.4,3.9,28,MAN,0.657,0.615,141.2,13.7,20.3,16.8,10.4,11.2,1.4,2.9,15.2,0.1,1.5,135.6,107.8,27.8,249.9,19.1,589.4,PF,MAN,BAXI MANRESA,BAXI MANRESA,1002,593,2262,0.007984031936127744,1.5000000000000002,0.7142857142857143,0.30526315789473685,1000.7839999999999,2313.951445086705,15.65,13.184,1.5316614311388648,11.330980846465094,0.13517465538887521
120,GUILLEM FERRANDO,SJG,24,9.6,14.4,4.5,12.1,0.377,3.3,8.0,0.412,2.0,2.7,0.765,0.8,2.0,2.8,6.3,0.9,0.0,3.9,3.8,200,SJG,0.545,0.513,155.3,2.6,7.2,4.8,31.3,22.8,1.4,0.0,21.7,0.7,1.2,102.7,118.4,-15.7,51.6,10.1,229.6,PG,SJG,CB GRANADA,CB GRANADA,947,511,2173,0.011404435058078142,1.6153846153846154,0.23076923076923078,0.1652892561983471,951.288,3963.7,17.55,19.588,-3.4261844574371914,19.409486260612002,-0.1765211305149279
121,JONATHAN ROUSSELLE,GRA,34,22.7,14.4,4.6,11.6,0.398,2.1,6.3,0.338,3.0,3.9,0.783,0.5,2.5,3.0,6.2,1.0,0.1,2.1,4.9,151,GRA,0.541,0.49,151.9,1.6,9.3,5.3,30.2,13.6,1.4,0.4,19.7,5.6,1.2,115.7,118.6,-3.0,199.6,12.8,771.9,PG,GRA,FORCA LLEIDA CE,FORCA LLEIDA CE,941,585,2172,0.011477151965993625,2.9523809523809526,0.47619047619047616,0.25862068965517243,944.316,1663.9929515418503,17.5,19.516,-3.39908188030142,8.148257519667673,-0.4171544495368442
122,AMIDA BRIMAH,VAL,19,10.2,14.3,4.7,6.5,0.714,0.0,0.0,0.0,5.0,6.5,0.771,3.2,5.4,8.6,1.3,0.0,3.9,2.4,5.2,40,VAL,0.764,0.714,148.6,11.1,16.6,14.1,4.9,20.5,0.0,11.2,14.6,-4.2,2.2,133.9,110.9,23.0,77.4,18.3,193.5,C,VAL,VALENCIA BASKET,VALENCIA BASKET,1242,785,2576,0.004830917874396135,0.5416666666666667,0.0,0.7692307692307693,1244.06,4878.666666666667,14.950000000000001,10.66,3.5345351073983835,23.88990429063058,0.14795099488048594
123,OLEK BALCEROWSKI,UNI,29,11.2,14.2,4.9,7.8,0.629,0.4,1.1,0.4,4.0,5.8,0.692,1.8,3.7,5.4,1.9,0.9,1.6,1.4,8.3,112,UNI,0.689,0.657,172.1,6.2,13.3,9.7,7.9,12.3,1.3,5.0,14.9,-0.5,1.8,131.7,108.7,23.0,85.3,14.4,323.8,C,UNI,UCAM MURCIA CB,UCAM MURCIA CB,992,575,2230,0.00685483870967742,1.3571428571428572,0.6428571428571429,0.5128205128205129,994.152,3550.5428571428574,15.149999999999999,12.252,2.0297114573963384,17.38633418357302,0.11674177178269432
124,MELWIN PANTZAR,BBB,34,24.8,14.2,4.4,9.8,0.445,1.0,3.1,0.319,4.5,5.6,0.808,1.0,3.3,4.3,5.5,1.8,0.2,1.9,2.7,64,BBB,0.58,0.496,157.3,3.4,11.7,7.5,26.6,13.3,2.7,0.5,18.8,5.1,1.4,121.4,113.3,8.1,290.3,16.9,843.0,PG,BBB,BILBAO BASKET,BILBAO BASKET,958,562,2202,0.010334029227557412,2.8947368421052633,0.9473684210526316,0.4591836734693877,961.364,1550.5870967741935,16.95,17.764000000000003,-2.072919169997668,7.59293058271841,-0.2730064692960125
125,TROY CAUPAIN,MUR,16,13.5,14.1,5.0,13.8,0.361,2.7,9.3,0.286,1.5,2.2,0.692,0.5,2.7,3.2,3.2,1.7,0.0,2.8,3.8,223,MUR,0.479,0.458,133.9,1.6,9.5,5.4,15.4,16.1,2.5,0.0,22.8,-2.0,1.0,91.6,112.3,-20.6,33.4,8.4,216.5,G,MUR,CB GIRONA,CB GIRONA,966,551,2215,0.008488612836438923,1.142857142857143,0.6071428571428572,0.10869565217391304,969.2679999999999,2871.905185185185,15.7,17.968,-3.5413764718823515,14.063174365777487,-0.25181913981669996
126,JUANI MARCOS,SJG,28,21.0,14.1,4.8,11.9,0.4,2.4,6.8,0.351,2.2,2.6,0.837,1.0,2.2,3.2,7.3,1.5,0.2,3.1,4.0,131,SJG,0.54,0.5,158.9,3.2,7.6,5.3,34.1,18.9,2.2,0.8,20.2,5.0,1.2,111.6,117.7,-6.2,178.1,13.5,588.6,PG,SJG,CB GRANADA,CB GRANADA,947,511,2173,0.012777191129883844,2.354838709677419,0.48387096774193544,0.18487394957983194,950.244,1809.9885714285715,17.75,20.344,-4.035761517362786,8.863170348161466,-0.4553406240465575
127,NIHAD DJEDOVIC,UNI,20,14.4,14.1,4.2,10.2,0.415,1.2,4.9,0.256,4.4,5.4,0.814,1.0,3.5,4.5,3.4,1.4,0.0,1.9,3.1,166,UNI,0.56,0.476,148.5,3.4,12.6,7.9,13.7,12.9,2.0,0.0,18.2,1.0,1.4,113.9,110.5,3.4,74.9,12.4,288.6,SG,UNI,UCAM MURCIA CB,UCAM MURCIA CB,992,575,2230,0.007661290322580645,1.7894736842105263,0.7368421052631579,0.4313725490196079,995.276,2764.655555555555,15.799999999999999,15.976,-1.308205171126028,13.537993294366423,-0.09663213318848464
128,JOHN SHURNA,GCN,32,22.4,14.1,5.1,10.7,0.477,2.5,5.8,0.431,1.4,2.2,0.614,1.7,2.5,4.2,1.2,0.6,0.4,0.8,3.0,132,GCN,0.602,0.593,152.1,6.2,9.2,7.7,5.7,6.4,0.9,1.3,16.9,0.0,1.3,124.1,119.7,4.4,174.0,13.5,717.7,F,GCN,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.005865921787709497,1.4999999999999998,0.7499999999999999,0.1308411214953271,1074.068,1917.9785714285713,14.7,12.867999999999999,0.9200560752347471,9.391976872692457,0.09796191874256488
129,USMAN GARUBA,RMB,25,14.1,14.0,5.2,10.4,0.5,0.8,3.1,0.267,2.8,4.0,0.692,3.4,5.6,9.0,1.2,1.8,1.3,1.7,5.3,71,RMB,0.575,0.539,145.9,11.9,17.0,14.7,5.7,12.5,2.8,3.8,18.0,-2.6,1.3,117.3,101.3,16.0,120.1,16.7,351.7,C,RMB,REAL MADRID,REAL MADRID,1046,595,2205,0.006118546845124283,0.7058823529411765,1.0588235294117647,0.2692307692307692,1046.06,2967.54609929078,14.6,13.36,0.29318846480697935,14.531509761565493,0.020176049812968222
130,STAN OKOYE,AND,34,19.0,14.0,4.6,10.2,0.456,2.5,6.2,0.405,2.2,2.7,0.816,1.8,3.7,5.5,1.3,1.0,0.2,1.8,4.5,165,AND,0.617,0.58,167.8,6.4,13.2,9.8,5.6,13.6,1.5,0.7,16.8,-2.6,1.4,120.5,122.2,-1.7,150.1,12.4,644.8,GF,AND,MORABANC ANDORRA,MORABANC ANDORRA,1049,543,2203,0.005624404194470924,0.7222222222222222,0.5555555555555556,0.21568627450980396,1050.188,2210.9221052631583,14.65,12.688,1.062812518074173,10.82646573287298,0.0981680027718647
131,DRAGAN APIC,BRE,34,15.6,13.9,5.0,9.2,0.548,0.1,0.1,1.0,3.8,5.6,0.675,2.4,4.5,6.9,1.6,1.0,0.6,2.4,5.7,152,BRE,0.598,0.552,222.3,8.1,15.4,11.7,8.2,17.3,1.5,2.0,18.4,-3.8,1.5,110.3,116.3,-6.0,127.1,12.8,530.0,C,BRE,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.006145251396648044,0.6666666666666667,0.4166666666666667,0.41304347826086957,1076.464,2760.164102564103,14.700000000000001,13.264,0.4959919009880096,13.51599950191801,0.03669664984210935
132,RODIONS KURUCS,MUR,32,25.4,13.9,4.9,10.0,0.489,1.1,3.3,0.324,3.0,3.9,0.764,2.5,5.7,8.2,2.7,1.5,0.4,3.4,5.0,138,MUR,0.59,0.542,157.7,8.1,19.6,13.7,13.2,22.4,2.2,1.0,19.6,-4.4,1.4,104.7,104.9,-0.3,234.1,13.2,814.1,SF,MUR,CB GIRONA,CB GIRONA,966,551,2215,0.007867494824016564,0.7941176470588236,0.4411764705882353,0.3,968.616,1525.379527559055,15.25,14.416,-0.18764933318432497,7.46949390276164,-0.025122094699742213
133,EDY TAVARES,RMB,33,21.4,13.9,5.3,8.2,0.652,0.0,0.0,0.0,3.2,4.7,0.674,3.8,7.5,11.4,1.8,0.9,2.4,2.4,3.6,22,RMB,0.675,0.652,132.6,13.7,22.9,18.7,8.3,18.9,1.3,6.9,16.3,-3.4,1.7,124.5,100.4,24.1,319.3,19.9,706.6,C,RMB,REAL MADRID,REAL MADRID,1046,595,2205,0.006787762906309751,0.75,0.375,0.39024390243902446,1046.6680000000001,1956.3887850467293,14.8,12.068,1.8767513767433108,9.580064395332618,0.1959017496435263
134,ELIAS VALTONEN,GRA,32,24.3,13.8,5.0,10.4,0.487,1.8,4.4,0.415,1.9,2.7,0.724,1.6,3.8,5.4,1.8,1.1,0.6,1.6,3.9,135,GRA,0.599,0.574,162.6,5.3,14.1,9.5,8.7,12.3,1.6,1.9,16.9,-1.2,1.3,117.2,116.1,1.1,202.3,13.4,777.8,SG,GRA,FORCA LLEIDA CE,FORCA LLEIDA CE,941,585,2172,0.007226354941551541,1.125,0.6875,0.18269230769230768,942.188,1550.9267489711933,14.700000000000001,13.388000000000002,0.36320412925417855,7.594593795032929,0.04782403628904076
135,SIMON BIRGANDER,MUR,28,22.0,13.8,6.2,9.5,0.65,0.0,0.1,0.0,1.4,1.9,0.727,2.9,5.9,8.8,2.1,0.7,1.4,1.7,3.6,50,MUR,0.665,0.65,137.8,9.3,20.6,14.8,10.6,14.5,1.0,4.1,15.7,-1.0,1.4,125.3,106.0,19.3,237.9,17.7,617.3,FC,MUR,CB GIRONA,CB GIRONA,966,551,2215,0.008592132505175985,1.2352941176470589,0.4117647058823529,0.14736842105263157,965.6360000000001,1755.7018181818182,14.850000000000001,12.436,1.5326715380493727,8.597338425645612,0.17827279352845501
136,NICOLAS LAPROVITTOLA,FCB,4,20.3,13.8,4.9,11.1,0.44,2.2,5.8,0.385,1.8,2.7,0.667,0.9,3.1,4.0,9.3,0.4,0.0,3.5,3.5,118,FCB,0.561,0.54,149.1,3.9,10.4,7.6,39.8,22.4,0.7,0.0,21.0,7.3,1.2,113.2,113.7,-0.5,27.3,14.2,81.2,PG,FCB,BARCA,BARCA,1151,637,2259,0.012337098175499566,2.6571428571428575,0.1142857142857143,0.16216216216216217,1154.788,2275.444334975369,18.450000000000003,21.588,-4.6679227112086,11.14241884009684,-0.418932619406724
137,ZORAN DRAGIC,BBB,34,21.6,13.8,4.5,12.1,0.368,1.4,6.6,0.215,3.4,4.6,0.745,0.8,3.3,4.1,3.2,0.8,0.0,2.9,2.2,220,BBB,0.487,0.427,132.8,2.8,11.7,7.2,15.8,17.2,1.3,0.0,22.7,-2.2,1.1,94.4,116.9,-22.5,128.3,8.7,735.6,SG,BBB,BILBAO BASKET,BILBAO BASKET,958,562,2202,0.008037578288100209,1.103448275862069,0.27586206896551724,0.2809917355371901,962.124,1781.7111111111112,15.4,17.323999999999998,-3.1517367541679544,8.724700994396866,-0.3612429533335351
138,TYLER KALINOSKI,UNI,34,19.4,13.7,4.6,11.3,0.409,2.5,6.7,0.374,2.0,2.5,0.8,1.5,2.9,4.4,3.3,1.7,0.1,0.9,4.6,134,UNI,0.553,0.519,158.3,5.1,10.7,7.8,13.4,6.9,2.5,0.2,16.9,3.4,1.2,121.5,110.4,11.1,180.6,13.4,660.6,G,UNI,UCAM MURCIA CB,UCAM MURCIA CB,992,575,2230,0.007963709677419354,3.6666666666666665,1.8888888888888888,0.17699115044247787,992.5,2046.3917525773197,15.35,15.7,-1.4626452921055684,10.020791837293237,-0.14596104937158844
139,TRYGGVI HLINASON,BBB,26,20.3,13.7,5.7,8.2,0.692,0.0,0.0,0.0,2.4,3.8,0.625,4.2,6.7,10.9,2.2,1.0,2.0,2.2,4.1,17,BBB,0.695,0.692,131.7,14.4,23.2,18.7,11.5,18.1,1.6,6.0,16.0,-2.1,1.7,127.5,107.5,20.0,240.5,20.6,527.6,C,BBB,BILBAO BASKET,BILBAO BASKET,958,562,2202,0.00824634655532359,1.0,0.45454545454545453,0.29268292682926833,957.672,1887.03842364532,14.799999999999999,12.072,1.8724679002357671,9.240468844007058,0.2026377591706468
140,ARTURS KURUCS,BRE,18,24.0,13.6,4.5,10.1,0.443,3.7,8.0,0.469,0.9,0.9,1.0,0.7,1.8,2.6,2.1,1.5,0.1,1.2,4.0,158,BRE,0.646,0.627,191.1,2.6,6.1,4.4,9.8,9.9,2.2,0.3,15.3,0.6,1.3,125.7,120.0,5.6,99.9,12.6,432.8,SG,BRE,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.006145251396648044,1.7500000000000002,1.25,0.08910891089108912,1074.896,1791.493333333333,14.65,12.596,1.1613324777476581,8.772602679141038,0.1323817480653722
141,MINDAUGAS SUSINSKAS,SJG,31,18.1,13.6,4.5,10.3,0.435,2.4,6.1,0.4,2.2,2.4,0.919,1.6,2.8,4.4,1.7,1.0,0.6,2.1,5.1,192,SJG,0.598,0.553,175.4,5.4,9.8,7.5,7.9,15.3,1.4,1.9,17.0,-2.6,1.3,113.2,117.9,-4.8,114.4,11.1,560.3,F,SJG,CB GRANADA,CB GRANADA,947,511,2173,0.006546990496304118,0.8095238095238094,0.47619047619047616,0.21359223300970875,948.556,2096.2563535911604,14.45,13.056000000000001,0.46873267938023133,10.264969320016208,0.045663329793516734
142,TOMAS DIMSA,ZAR,11,16.9,13.6,4.7,12.4,0.375,3.1,9.5,0.327,1.2,1.2,1.0,1.9,1.9,3.9,0.8,1.0,0.2,2.7,3.1,227,ZAR,0.525,0.5,170.2,6.7,7.2,6.9,3.4,17.4,1.4,0.7,19.7,-6.1,1.1,97.8,127.4,-29.6,25.3,7.6,185.4,SG,ZAR,CASADEMONT ZARAGOZA,CASADEMONT ZARAGOZA,1094,635,2299,0.005027422303473492,0.2962962962962963,0.37037037037037035,0.0967741935483871,1095.328,2592.492307692308,14.0,13.728000000000002,-0.7008913738869609,12.694942560460216,-0.05521028319340046
143,PIERRE ORIOLA,FOR,34,18.9,13.5,4.7,9.7,0.486,0.8,2.3,0.341,3.3,4.5,0.738,4.0,5.6,9.6,1.8,1.0,0.2,2.2,5.1,123,FOR,0.579,0.526,156.5,13.1,19.8,16.4,9.0,16.1,1.5,0.6,17.6,-2.9,1.4,114.3,114.4,-0.1,194.8,13.9,643.0,PF,FOR,RIO BREOGAN,RIO BREOGAN,945,551,2145,0.0068783068783068784,0.8181818181818181,0.45454545454545453,0.3402061855670103,945.1800000000001,2000.3809523809527,14.4,13.48,-0.03531583041930553,9.795485685402037,-0.003605316934099124
144,JORDAN SAKHO,BRE,31,18.5,13.5,5.3,9.0,0.587,0.0,0.0,0.0,2.9,4.3,0.691,3.8,6.2,10.0,1.8,1.3,1.7,2.8,5.8,77,BRE,0.622,0.587,127.9,13.0,21.1,17.1,8.8,20.3,1.9,5.5,17.8,-4.4,1.5,113.3,111.3,2.0,201.5,16.2,573.8,C,BRE,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.006610800744878957,0.6428571428571429,0.46428571428571436,0.3222222222222222,1074.892,2324.090810810811,14.4,12.692,0.8085290415666311,11.380631395122498,0.07104430444106553
145,KRISTIAN KULLAMAE,BBB,24,15.0,13.5,5.3,14.9,0.356,1.7,6.6,0.258,1.2,1.9,0.632,0.2,3.5,3.7,4.7,0.7,0.2,2.2,3.4,226,BBB,0.429,0.413,124.5,0.7,12.4,6.4,24.2,12.3,1.1,0.6,24.2,2.7,0.9,90.5,117.6,-27.1,61.4,7.8,360.7,SG,BBB,BILBAO BASKET,BILBAO BASKET,958,562,2202,0.010438413361169102,2.1363636363636362,0.3181818181818181,0.08053691275167785,960.836,2562.2293333333337,15.85,20.436,-6.034281477036272,12.546750521449754,-0.48094376840602243
146,TOMASZ GIELO,BBB,34,18.8,13.5,4.3,10.5,0.406,2.9,7.6,0.388,2.0,2.3,0.854,1.4,4.6,6.0,1.2,0.8,0.5,0.9,2.9,137,BBB,0.583,0.545,164.8,4.6,16.5,10.4,5.7,7.2,1.3,1.5,16.6,-0.3,1.3,119.1,114.5,4.6,172.4,13.3,638.8,PF,BBB,BILBAO BASKET,BILBAO BASKET,958,562,2202,0.005741127348643006,1.3333333333333333,0.888888888888889,0.19047619047619047,958.512,2039.3872340425532,14.1,12.712,0.4871116590289155,9.986492040067727,0.04877705375166073
