#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
66,CHRIS HORTON,TRA,36,24.7,10.4,4.5,6.6,0.678,0.0,0.0,0.0,1.4,2.2,0.613,2.5,4.0,6.4,2.0,1.4,0.8,1.2,1.8,9,0.68,0.678,129.0,12.7,21.3,16.9,12.6,13.6,3.0,3.7,16.2,0.5,1.6,133.4,105.6,27.8,435.5,22.3,889.0,FC,12,4,0,0,0,0,0,0,22,0,0.194,1.7,1.2,0.3,25,11,0.694,2.9,2.1,5.1,2B CONTROL TRAPANI
67,MAURICE NDOUR,BRE,35,23.7,10.3,4.2,7.5,0.563,0.0,0.2,0.0,1.8,2.4,0.753,1.6,3.6,5.2,0.9,0.5,1.1,1.5,2.7,52,0.599,0.563,131.6,8.8,18.9,14.0,6.7,15.2,1.2,4.8,20.2,-3.9,1.4,113.5,112.3,1.2,269.1,16.6,828.0,F,49,1,0,0,0,0,0,0,18,0,0.168,0.6,0.3,0.3,25,10,0.714,1.0,1.2,2.2,GEMANI BASKET BRESCIA
68,QUINN ELLIS,TREN,32,25.4,10.3,3.9,8.3,0.468,1.0,2.6,0.373,1.6,2.1,0.746,0.5,3.9,4.4,5.1,0.5,0.3,2.3,2.3,83,0.559,0.526,158.8,2.6,18.6,10.8,32.2,20.3,1.0,1.4,20.8,4.2,1.2,112.6,109.5,3.1,294.9,15.0,813.0,G,22,2,0,0,0,0,0,0,19,0,0.289,2.2,0.2,0.3,23,9,0.719,1.0,1.5,2.5,DOLOMITI ENERGIA TRENTO
69,MATT MORGAN,BOL,40,19.7,10.3,3.1,6.8,0.452,1.8,4.4,0.417,2.3,2.7,0.858,0.2,1.6,1.8,1.8,0.7,0.0,1.2,1.7,44,0.643,0.586,172.8,1.4,10.1,6.0,15.4,12.9,2.0,0.0,22.8,0.0,1.5,121.4,111.8,9.6,239.8,16.9,788.0,G,181,0,0,0,0,0,0,0,24,0,0.163,1.5,0.6,0.4,30,10,0.75,1.9,1.2,3.1,VIRTUS BOLOGNA
70,KWAN CHEATHAM JR.,REG,33,27.5,10.2,3.7,9.5,0.39,2.0,5.2,0.384,0.8,1.2,0.634,1.1,3.7,4.8,1.2,0.5,0.5,0.8,2.0,128,0.507,0.495,140.8,4.9,16.0,10.5,7.7,7.8,1.1,2.2,18.7,-0.1,1.1,109.4,109.1,0.3,232.1,12.2,908.0,,44,1,0,0,0,0,0,0,24,0,0.172,1.5,0.6,0.1,18,15,0.545,0.5,1.7,2.2,GRISSIN BON REGGIO EMILIA
71,TOMISLAV ZUBCIC,NAP,19,25.2,10.2,3.9,8.7,0.446,1.6,4.5,0.349,0.8,1.6,0.516,0.4,4.5,4.8,1.4,0.8,0.0,1.7,2.9,150,0.54,0.536,131.1,1.8,22.2,11.9,9.0,15.5,1.7,0.0,21.0,-3.2,1.2,95.6,115.0,-19.4,108.6,10.3,478.0,C,31,1,0,0,0,0,0,0,28,0,0.172,0.8,0.5,0.2,9,10,0.474,-0.6,0.5,-0.1,NAPOLI BASKET
72,TARIQ OWENS,CRE,29,26.3,10.1,3.7,6.7,0.557,0.8,2.2,0.338,1.9,2.5,0.767,1.8,4.3,6.1,0.5,0.6,1.2,1.2,3.3,43,0.65,0.613,166.2,8.4,21.8,14.9,3.3,13.4,1.3,5.1,17.1,-3.5,1.5,120.9,113.9,7.1,250.4,17.0,762.0,PF,27,2,0,0,0,0,0,1,24,0,0.15,0.4,0.5,0.4,9,20,0.31,1.4,0.9,2.4,VANOLI CREMONA
73,ERIC PASCHALL,PIS,20,19.6,10.1,3.7,8.7,0.422,0.6,2.8,0.214,2.2,3.0,0.746,0.3,2.7,3.0,0.7,0.5,0.1,1.0,1.7,123,0.508,0.457,138.2,1.7,15.9,8.7,7.1,8.7,1.2,0.3,25.9,-2.4,1.2,100.1,120.3,-20.3,84.4,12.7,391.0,F,162,0,0,0,0,0,0,0,23,0,0.156,0.7,0.5,0.3,3,17,0.15,-0.3,0.1,-0.2,GEORGIO TESI GROUP PISTOIA
74,KEVIN PANGOS,NAP,26,28.7,10.1,3.7,9.5,0.39,1.3,4.2,0.318,1.3,1.9,0.7,0.5,2.3,2.8,6.8,0.9,0.0,2.6,2.0,130,0.489,0.461,140.8,2.0,10.3,6.1,38.4,20.2,1.6,0.0,21.2,6.5,1.1,102.6,118.8,-16.2,221.0,11.9,745.0,PG,7,4,0,0,0,0,0,0,22,0,0.35,2.6,0.3,0.2,9,17,0.346,-0.3,0.4,0.2,NAPOLI BASKET
75,MOUHAMED FAYE,REG,31,22.0,10.1,4.3,6.5,0.665,0.0,0.0,0.0,1.5,2.5,0.605,2.7,5.1,7.8,0.4,0.6,1.5,1.6,3.0,8,0.668,0.665,127.0,14.7,27.6,21.2,3.4,17.9,1.5,7.6,19.5,-6.5,1.6,118.3,100.0,18.2,315.3,22.4,681.0,C,8,4,0,0,0,0,0,0,20,0,0.163,0.2,0.4,0.4,17,14,0.548,1.2,2.1,3.4,GRISSIN BON REGGIO EMILIA
