#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
72,ALEXANDRE CHASSANG,CSP,23,24.1,9.3,3.7,7.7,0.483,0.6,2.1,0.271,1.2,1.9,0.636,1.7,3.3,5.0,2.7,0.7,0.4,1.6,3.0,96,0.54,0.52,139.0,8.8,18.0,13.2,20.4,15.4,1.5,1.8,20.5,0.9,1.2,108.0,112.3,-4.3,172.3,14.5,555.0,PF,90,0,0,0,0,0,0,0,18,0,0.227,1.7,0.4,0.2,9,14,0.391,0.3,0.7,1.1,CSP LIMOGES
73,ROKO PRKACIN,N92,26,19.3,9.2,4.1,6.2,0.654,0.0,0.0,0.0,1.1,1.7,0.622,2.2,1.8,4.0,1.5,1.0,0.2,1.3,3.3,13,0.66,0.654,127.7,14.1,14.3,14.2,14.2,16.1,2.9,1.5,20.6,-1.8,1.5,122.1,113.8,8.3,188.1,20.7,502.7,C,86,0,0,0,0,0,0,0,18,0,0.183,1.1,0.8,0.3,10,16,0.385,1.3,0.6,1.9,NANTERRE 92
74,ADRIAN NELSON,JLB,35,21.9,9.2,3.4,7.5,0.452,1.2,3.3,0.362,1.2,1.6,0.75,1.5,3.1,4.6,0.9,0.7,0.2,0.6,1.7,71,0.56,0.532,156.5,8.7,18.4,13.5,6.9,7.1,1.7,1.1,18.6,-0.1,1.2,120.2,113.2,7.0,249.3,15.9,766.3,F,10,3,0,0,0,0,0,0,19,0,0.141,1.5,1.1,0.2,20,15,0.571,1.5,1.0,2.4,JL BOURG-EN-BRESSE
75,TYLER CHEESE,ULR,7,22.3,9.1,3.0,8.1,0.368,1.0,3.6,0.28,2.1,2.3,0.938,0.7,2.0,2.7,1.9,0.6,0.0,1.4,1.3,120,0.5,0.43,158.6,4.5,14.0,9.0,20.0,13.5,1.6,0.0,26.7,-1.0,1.1,94.8,120.6,-25.9,33.3,12.7,156.0,G,137,0,0,0,0,0,0,0,21,0,0.199,1.3,0.4,0.3,1,6,0.143,-0.2,0.0,-0.2,UNION LA ROCHELLE
76,MOHAMED DIARRA,CSP,30,20.3,9.1,3.2,7.0,0.455,0.8,2.7,0.305,2.0,3.4,0.584,1.8,4.4,6.3,1.8,0.7,1.0,1.6,2.2,35,0.541,0.514,134.4,11.0,29.2,19.7,17.0,15.6,1.8,5.6,23.8,-1.7,1.3,105.4,108.5,-3.1,259.6,18.5,608.8,C,6,4,0,0,0,0,0,1,25,0,0.177,1.2,0.4,0.5,10,20,0.333,0.1,1.1,1.3,CSP LIMOGES
77,BRICE DESSERT,STR,26,17.8,9.0,3.7,5.4,0.688,0.0,0.0,0.0,1.6,3.0,0.519,1.9,3.1,5.0,0.5,0.2,1.0,1.6,2.4,23,0.669,0.688,120.7,14.7,21.9,18.4,5.4,18.9,0.5,5.7,22.4,-7.1,1.7,112.1,111.4,0.7,178.1,19.8,464.0,C,14,2,0,0,0,0,0,0,25,0,0.151,0.3,0.1,0.6,9,17,0.346,0.6,0.7,1.2,STRASBOURG IG
78,NANDO DE COLO,LYV,34,18.5,9.0,2.5,5.7,0.436,1.3,3.4,0.371,2.8,3.0,0.931,0.1,1.3,1.4,4.0,0.8,0.0,1.8,2.5,42,0.641,0.546,173.7,0.9,9.0,5.1,35.9,20.3,2.3,0.2,22.5,4.7,1.6,123.5,112.1,11.4,220.6,18.0,628.0,G,104,0,0,0,0,0,0,0,21,0,0.22,2.2,0.4,0.5,25,9,0.735,2.0,0.9,2.9,ASVEL BASKET
79,GIOVAN ONIANGUE,SQB,31,26.1,8.9,2.9,7.8,0.378,2.3,6.5,0.355,0.8,1.0,0.75,0.5,1.9,2.5,1.1,0.8,0.1,1.1,2.0,166,0.543,0.525,148.3,2.5,10.3,6.2,7.2,12.1,1.7,0.6,17.1,-1.7,1.1,107.6,113.8,-6.2,139.8,9.6,810.1,SG,133,0,0,0,0,0,0,0,18,0,0.147,0.9,0.7,0.1,14,17,0.452,0.3,0.9,1.2,SAINT-QUENTIN BASKETBALL
80,RYAN HAWKINS,ULR,30,23.6,8.9,3.2,7.1,0.444,1.8,4.8,0.372,0.8,1.2,0.639,0.4,2.5,2.8,1.5,1.0,0.2,1.0,2.2,119,0.581,0.57,145.5,2.0,13.7,7.8,13.6,11.5,2.3,1.1,18.8,0.1,1.2,102.9,112.8,-9.9,179.0,12.7,708.0,F,21,1,0,0,0,0,0,0,26,0,0.187,1.5,1.0,0.2,4,26,0.133,-0.1,0.9,0.8,UNION LA ROCHELLE
81,VITALIS CHIKOKO,STR,25,19.2,8.9,3.5,5.2,0.672,0.0,0.0,0.0,1.8,2.6,0.708,2.0,2.7,4.7,1.4,0.4,1.0,2.2,2.2,30,0.695,0.672,137.9,13.9,18.4,16.2,13.4,25.3,1.0,5.5,21.2,-6.5,1.7,113.1,111.8,1.3,185.4,18.9,481.0,PF,33,1,0,0,0,0,0,0,17,0,0.171,0.6,0.2,0.5,11,14,0.44,0.7,0.7,1.3,STRASBOURG IG
