#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
48,NIJAL PEARSON,ROST,29,25.7,11.7,4.0,11.3,0.357,1.7,5.6,0.302,1.9,2.4,0.789,1.3,2.8,4.1,1.9,1.3,0.2,2.0,2.5,127,0.472,0.431,144.8,6.3,12.9,9.6,13.8,13.9,2.8,0.9,26.1,-3.0,1.0,97.2,106.5,-9.2,167.9,13.0,744.9,SF,19,2,0,0,0,0,0,0,27,0,0.212,0.9,0.7,0.2,14,15,0.483,-0.5,1.3,0.8,ROSTOCK SEAWOLVES
49,ANDREAS OBST,BAY,42,25.1,11.5,3.6,9.0,0.398,2.8,7.5,0.377,1.5,1.8,0.84,0.4,1.9,2.2,2.0,0.9,0.0,1.3,1.7,98,0.587,0.555,161.5,1.8,9.3,5.6,14.7,11.6,1.9,0.0,21.0,0.3,1.3,115.7,106.5,9.2,277.9,14.8,1054.9,SG,160,0,0,0,0,0,0,0,20,0,0.202,1.6,0.7,0.2,31,11,0.738,2.2,1.8,3.9,BAYERN MUNICH
50,TYREN JOHNSON,BC,37,25.0,11.4,4.2,9.0,0.464,1.5,4.2,0.363,1.5,2.1,0.727,0.9,2.4,3.3,2.0,1.3,0.3,1.9,2.9,79,0.575,0.549,155.4,4.9,12.8,8.9,14.4,16.0,2.8,1.5,22.8,-2.2,1.3,107.6,114.6,-7.0,253.9,15.5,925.4,F,206,0,0,0,0,0,2,0,25,0,0.212,1.1,0.7,0.2,18,19,0.486,1.0,0.5,1.5,MITTELDEUTSCHER BC
51,DEVIN BOOKER,BAY,31,21.7,11.4,4.1,8.5,0.485,0.8,2.2,0.348,2.5,3.0,0.809,1.8,3.3,5.1,1.9,0.7,0.2,2.0,2.2,29,0.583,0.531,164.1,10.6,19.0,14.9,17.7,17.0,1.9,1.3,25.9,-3.5,1.4,111.7,102.1,9.6,247.3,19.1,672.2,PF,158,0,0,0,0,0,0,0,20,0,0.217,1.0,0.4,0.4,24,7,0.774,1.3,1.5,2.9,BAYERN MUNICH
52,LEN SCHOORMANN,EWE,34,25.0,11.4,4.2,8.2,0.513,1.0,3.0,0.34,1.9,2.9,0.68,1.2,1.7,2.9,1.7,1.1,0.1,1.7,2.1,90,0.602,0.575,153.3,6.0,8.6,7.3,11.7,15.3,2.4,0.4,19.5,-2.1,1.4,114.1,115.3,-1.2,233.1,15.1,849.5,SG,26,2,0,0,0,0,0,0,26,0,0.192,1.0,0.7,0.3,17,17,0.5,1.5,0.4,1.9,EWE BASKETS OLDENBURG
53,KUR KUATH,HAM,32,26.3,11.4,4.9,7.5,0.661,0.0,0.1,0.333,1.5,2.8,0.528,1.8,5.3,7.1,1.2,0.7,1.6,1.4,1.7,14,0.654,0.663,152.3,8.7,23.7,16.4,8.6,14.2,1.4,6.5,17.7,-2.4,1.5,120.0,104.8,15.2,373.9,20.4,842.7,F,7,6,0,0,0,0,0,1,18,0,0.214,0.8,0.5,0.4,15,17,0.469,2.0,1.6,3.6,VEOLIA TOWERS HAMBURG
54,ALEX BARCELLO,MLP,15,23.7,11.2,3.7,7.8,0.479,1.9,3.9,0.475,1.9,2.3,0.824,0.9,2.3,3.3,3.1,0.7,0.1,2.5,2.7,57,0.637,0.598,177.7,5.0,12.1,8.6,24.8,21.9,1.5,0.3,23.0,-1.8,1.4,110.7,107.9,2.8,107.3,16.5,355.2,PG,178,0,0,0,0,0,0,0,24,0,0.25,1.2,0.3,0.3,8,7,0.533,0.6,0.5,1.1,MLP ACADEMICS HEIDELBERG
55,NORRIS AGBAKOKO,EWE,31,22.3,11.2,4.3,6.6,0.646,0.0,0.0,0.0,2.6,3.5,0.748,2.7,4.5,7.2,0.9,0.7,0.8,1.6,3.3,10,0.684,0.646,139.3,15.0,24.4,19.8,6.8,16.8,1.6,4.2,19.2,-4.6,1.7,125.6,109.4,16.1,311.6,21.6,692.6,C,5,7,0,0,0,0,0,1,22,0,0.166,0.5,0.4,0.5,16,15,0.516,2.3,0.9,3.2,EWE BASKETS OLDENBURG
56,FILIP STANIC,BRO,31,23.6,11.1,4.2,7.7,0.548,0.0,0.0,1.0,2.6,4.8,0.544,2.7,5.5,8.1,1.5,1.0,0.5,1.8,2.2,16,0.565,0.55,209.2,13.7,26.8,20.3,11.4,15.5,2.3,2.4,22.6,-3.4,1.4,109.8,106.5,3.3,323.6,20.3,730.2,PF,6,7,0,0,0,0,0,0,20,0,0.191,0.8,0.6,0.6,12,19,0.387,1.1,1.2,2.3,BROSE BASKETS BAMBERG
57,JORDAN BARNETT,HAM,32,24.7,11.0,3.9,8.5,0.456,2.1,5.3,0.386,1.2,1.7,0.722,1.2,3.6,4.8,1.1,0.6,0.2,1.3,1.7,85,0.597,0.577,156.4,5.9,17.4,11.9,8.0,12.2,1.3,0.9,19.6,-2.2,1.3,113.7,109.7,3.9,246.8,15.4,791.3,SF,32,2,0,0,0,0,0,0,22,0,0.174,0.9,0.5,0.2,15,17,0.469,1.3,1.0,2.3,VEOLIA TOWERS HAMBURG
