#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
112,SACAR ANIM,IGO,12,19.0,7.2,2.6,6.2,0.419,1.2,2.5,0.467,0.8,1.2,0.714,0.4,1.0,1.4,1.0,0.7,0.1,1.3,2.6,186,0.536,0.514,160.0,3.1,7.0,5.1,9.4,16.6,1.9,0.5,21.0,-3.5,1.2,94.8,114.2,-19.4,28.8,8.4,227.7,SG,92,0,0,0,0,0,0,0,13,0,0.127,0.8,0.5,0.2,7,5,0.583,-0.3,0.2,0.0,BC IGOEKA
113,ISAAC BONGA,PAR,33,19.2,7.2,2.3,4.6,0.503,0.9,2.5,0.37,1.6,2.2,0.703,1.3,3.2,4.5,1.6,0.9,0.3,0.8,2.1,30,0.636,0.601,157.6,9.4,22.0,15.9,12.1,12.7,2.6,1.8,16.2,1.3,1.5,131.8,103.5,28.3,247.3,19.6,633.5,SG,16,2,0,0,0,0,0,0,16,0,0.12,2.0,1.1,0.5,28,5,0.848,2.1,1.6,3.7,KK PARTIZAN
114,ANDRIJA GRBOVIC,STU,28,16.9,7.1,2.3,5.0,0.468,1.3,2.9,0.439,1.2,1.5,0.81,0.9,2.1,3.0,0.4,0.3,0.3,0.8,2.0,94,0.635,0.597,171.6,6.5,16.0,11.2,4.2,12.3,1.0,1.8,17.8,-2.9,1.4,121.0,117.3,3.7,128.8,15.0,474.4,F,154,0,0,0,0,0,0,0,19,0,0.092,0.5,0.4,0.3,10,18,0.357,1.0,0.3,1.2,STUDENSKI CENTAR PODGORICA
115,FRANK NTILIKINA,PAR,29,18.3,7.1,2.2,5.1,0.435,1.1,2.8,0.383,1.7,1.9,0.873,0.2,1.2,1.4,1.8,0.8,0.2,1.0,2.5,100,0.605,0.541,169.1,1.8,8.2,5.2,14.4,14.1,2.4,1.1,18.1,1.3,1.4,120.8,106.8,14.0,124.6,14.5,529.5,PG,53,0,0,0,0,0,0,0,18,0,0.123,1.9,0.8,0.4,25,4,0.862,1.1,1.1,2.2,KK PARTIZAN
116,OGNEN KUZMIC,FMP,18,18.9,7.1,2.8,4.2,0.68,0.1,0.1,1.0,1.4,2.1,0.658,2.6,3.1,5.7,0.6,0.3,0.5,0.6,1.9,15,0.698,0.687,233.8,17.2,22.3,19.7,5.8,9.8,1.0,2.8,14.2,-1.0,1.7,141.8,114.4,27.4,144.0,21.6,339.4,C,32,1,0,0,0,0,0,0,15,0,0.126,1.0,0.6,0.5,10,8,0.556,1.3,0.3,1.7,FMP BEOGRAD
117,STEFAN MOMIROV,SPAR,32,18.9,7.1,2.3,5.1,0.46,1.7,3.7,0.445,0.7,0.9,0.767,0.6,1.4,2.0,0.9,0.5,0.1,0.7,1.8,127,0.641,0.623,167.2,4.1,9.0,6.7,7.9,11.1,1.3,0.3,15.3,-0.3,1.4,123.4,113.9,9.5,143.0,13.0,605.2,G,110,0,0,0,0,0,0,0,19,0,0.109,1.4,0.7,0.2,17,15,0.531,1.2,0.7,1.8,KK SPAR
118,LUKA MITROVIC,ZVE,27,14.0,6.9,2.8,3.9,0.721,0.0,0.0,0.0,1.4,2.4,0.561,1.1,3.1,4.2,1.4,0.3,0.3,0.7,2.1,9,0.703,0.721,128.2,10.1,30.0,20.0,17.0,13.1,1.3,2.3,19.6,1.2,1.8,133.5,106.5,27.0,183.0,24.0,377.9,PF,66,0,0,0,0,0,0,0,15,0,0.133,1.9,0.5,0.6,20,7,0.741,1.5,0.8,2.3,KK CRVENA ZVEZDA
119,VASA PUSICA,IGO,32,21.0,6.9,2.3,5.7,0.399,1.0,3.3,0.308,1.3,1.5,0.878,0.4,2.2,2.6,3.8,1.1,0.0,1.5,3.0,122,0.54,0.486,158.4,2.6,13.5,8.3,28.1,19.3,2.7,0.0,18.2,4.6,1.2,110.2,114.7,-4.6,188.4,13.2,671.5,G,142,0,0,0,0,0,2,0,15,0,0.199,2.5,0.7,0.3,19,13,0.594,0.6,0.7,1.2,BC IGOEKA
120,BORNA KAPUSTA,SPL,30,23.2,6.9,1.8,6.2,0.286,1.2,4.2,0.296,2.1,2.8,0.762,0.5,1.8,2.4,5.4,0.5,0.0,1.9,3.1,155,0.466,0.386,134.4,2.9,10.9,6.7,38.6,20.4,1.3,0.0,20.0,7.8,1.1,103.2,119.5,-16.3,170.0,10.7,694.5,PG,28,1,0,0,0,0,0,0,15,0,0.261,2.9,0.3,0.5,9,21,0.3,-0.1,0.2,0.2,KK SPLIT
121,DANILO TASIC,COL,18,16.6,6.8,2.3,5.1,0.462,0.6,1.5,0.407,1.6,2.2,0.7,0.8,2.4,3.2,1.3,0.5,0.2,0.7,2.8,87,0.566,0.522,156.9,6.6,18.8,12.7,13.0,10.0,1.6,1.1,19.1,1.1,1.4,118.6,106.5,12.1,84.5,15.3,299.0,PF,191,0,0,0,0,0,0,0,17,0,0.121,1.9,0.8,0.4,12,6,0.667,0.6,0.6,1.2,KK CEDEVITA OLIMPIJA LJUBLJANA
122,VITO KUCIC,SPL,30,17.1,6.8,2.3,5.9,0.384,1.2,3.3,0.364,1.1,1.3,0.842,0.4,0.9,1.3,1.6,0.4,0.0,0.5,1.8,132,0.527,0.486,159.0,2.9,7.5,5.1,17.0,7.2,1.2,0.2,20.3,3.5,1.2,112.8,120.4,-7.6,108.5,12.7,512.0,G,122,0,0,0,0,0,0,0,21,0,0.14,3.2,0.7,0.2,9,21,0.3,0.6,0.1,0.7,KK SPLIT
