#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
159,ROBERTS STUMBRIS,SPB,34,18.4,5.7,2.2,5.2,0.432,1.0,3.1,0.314,0.2,0.4,0.667,1.1,2.0,3.0,1.0,0.5,0.2,0.8,2.1,165,0.532,0.526,141.3,7.5,13.4,10.5,8.2,13.0,1.5,1.0,15.9,-0.7,1.1,111.2,105.2,6.0,136.3,11.4,626.9,SG,229,0,0,0,0,0,0,0,14,0,0.103,1.3,0.6,0.1,32,2,0.941,0.7,1.2,1.9,SIBLO SAN PABLO BURGOS
160,KRESIMIR NIKIC,AQU,33,18.6,5.6,1.7,3.2,0.528,0.0,0.1,0.0,2.2,3.4,0.652,1.0,3.2,4.2,1.0,0.4,0.4,0.8,1.8,104,0.596,0.528,118.0,6.7,20.1,13.8,8.9,14.3,1.2,2.4,14.1,-0.6,1.7,118.6,110.4,8.2,180.8,14.3,612.7,C,187,0,0,0,0,0,0,0,15,0,0.097,1.3,0.5,1.1,12,21,0.364,1.1,0.8,1.8,ZAMORA ENAMORA
161,CHRISTIAN DIAZ,EST,35,13.5,5.5,1.8,4.3,0.421,0.6,1.6,0.393,1.3,1.5,0.863,0.4,0.9,1.3,1.8,0.5,0.0,1.4,1.8,135,0.556,0.493,167.7,3.7,8.0,6.0,21.8,21.9,2.2,0.2,22.7,-1.4,1.3,106.0,111.8,-5.8,100.6,12.9,471.9,PG,176,0,0,0,0,0,0,0,19,0,0.12,1.3,0.4,0.3,27,8,0.771,0.3,0.5,0.8,MOVISTAR ESTUDIANTES
162,RAFAEL GARCIA,MORO,12,18.2,5.5,1.7,5.2,0.323,0.3,1.3,0.267,1.8,2.2,0.846,0.7,1.8,2.5,1.4,1.0,0.0,1.5,2.3,198,0.449,0.355,143.5,4.3,12.0,8.1,13.8,19.7,3.1,0.0,20.9,-3.1,1.1,87.2,111.0,-23.8,31.3,9.1,218.7,G,135,0,0,0,0,0,0,0,17,0,0.118,0.9,0.7,0.4,3,9,0.25,-0.5,0.3,-0.2,CB STARLABS MORON
163,NACHO ARROYO,OBR,37,17.2,5.5,1.9,4.7,0.399,0.9,2.8,0.34,0.8,0.9,0.857,0.3,1.1,1.4,2.1,0.7,0.1,0.9,1.6,140,0.539,0.5,159.6,2.6,8.6,5.7,20.2,15.3,2.4,0.4,17.6,2.9,1.2,111.9,110.8,1.1,144.4,12.6,635.6,PG,91,0,0,0,0,0,0,0,16,0,0.139,2.3,0.8,0.2,24,13,0.649,0.8,0.8,1.6,MONBUS OBRADOIRO
164,MARVIN OGUNSIPE,LUC,13,13.6,5.4,1.8,3.4,0.523,0.0,0.1,0.0,1.8,2.9,0.632,1.2,1.9,3.2,0.3,0.5,0.3,1.5,1.3,111,0.576,0.523,115.4,10.1,18.7,14.0,4.7,23.8,2.2,2.6,22.0,-9.5,1.6,96.4,105.3,-8.9,45.0,14.1,176.4,PF,214,0,0,0,0,0,0,0,12,0,0.083,0.2,0.4,0.9,2,11,0.154,-0.1,0.3,0.2,HLA ALICANTE
165,OLIVER STEVIC,OBR,35,15.2,5.4,1.9,3.7,0.516,0.0,0.0,0.0,1.6,2.3,0.691,1.0,2.6,3.6,0.9,0.5,0.1,0.6,2.0,63,0.574,0.516,120.7,9.2,22.8,16.1,10.2,10.9,1.7,1.1,17.4,0.3,1.5,121.3,107.4,13.9,162.9,16.6,532.4,FC,48,1,0,0,0,0,0,0,19,0,0.098,1.6,0.8,0.6,22,13,0.629,1.3,0.9,2.2,MONBUS OBRADOIRO
166,OMAR KABIR LO,AQU,31,15.9,5.3,2.3,4.3,0.538,0.0,0.3,0.111,0.6,1.3,0.488,0.8,2.7,3.5,0.5,0.5,0.1,1.2,1.1,162,0.543,0.542,113.7,6.8,19.7,13.6,5.1,20.2,1.7,0.4,18.2,-5.7,1.2,95.0,110.5,-15.5,114.1,11.4,492.9,F,209,0,0,0,0,0,0,0,15,0,0.098,0.4,0.4,0.3,12,19,0.387,-0.4,0.6,0.2,ZAMORA ENAMORA
167,JORDAN ROGERS,CART,35,19.0,5.3,1.8,4.9,0.358,0.8,2.9,0.284,0.9,1.1,0.816,1.0,1.8,2.8,0.8,0.4,0.2,0.7,1.7,199,0.485,0.442,145.8,5.8,12.2,8.8,6.7,11.6,1.1,1.3,14.9,-1.0,1.1,103.4,114.6,-11.3,115.3,9.1,663.7,F,54,0,0,0,0,0,0,0,15,0,0.089,1.1,0.5,0.2,17,18,0.486,0.1,0.4,0.6,ODILO FC CARTAGENA CB
168,DAVIS ROZITIS,VAL,9,16.2,5.1,1.9,3.4,0.548,0.0,0.1,0.0,1.3,2.2,0.6,1.0,3.2,4.2,0.4,0.1,0.2,0.8,1.6,121,0.578,0.548,114.8,7.3,25.9,16.2,5.4,15.0,0.4,1.4,16.1,-3.0,1.5,109.5,111.7,-2.2,39.0,13.5,145.9,C,150,0,0,0,0,0,0,0,14,0,0.093,0.6,0.1,0.6,3,6,0.333,0.2,0.1,0.3,UEMC REAL VALLADOLID BALONCESTO
169,SAMUEL RODRIGUEZ,OUR,22,13.3,5.1,1.4,3.5,0.395,0.7,2.0,0.341,1.7,2.0,0.841,0.7,2.0,2.6,0.5,0.4,0.2,0.9,1.2,114,0.587,0.493,157.7,6.5,18.0,12.3,6.2,16.6,1.5,1.5,18.3,-4.0,1.5,114.1,111.1,3.0,76.8,13.9,291.5,PF,86,0,0,0,0,0,0,0,19,0,0.065,0.6,0.4,0.6,9,13,0.409,0.5,0.3,0.8,CLUB OURENSE BALONCESTO
170,RUBEN LOPEZ,BETIS,33,13.3,5.1,1.9,3.9,0.492,0.4,1.2,0.368,0.8,1.3,0.614,0.7,2.3,3.0,0.5,0.8,0.1,0.6,1.0,58,0.567,0.547,147.4,7.0,20.0,14.1,7.4,11.4,3.3,0.7,18.8,-1.6,1.3,112.7,101.0,11.8,145.0,17.1,438.8,PF,78,0,0,0,0,0,0,0,22,0,0.086,0.9,1.4,0.3,25,8,0.758,0.6,1.1,1.7,REAL BETIS BALONCESTO
171,MORAYO SOLUADE,TIZ,31,20.8,5.0,1.8,5.3,0.344,1.3,3.9,0.339,0.1,0.1,1.0,0.6,1.3,1.9,2.3,0.8,0.2,1.6,2.3,218,0.473,0.469,168.2,3.7,7.8,5.7,16.9,23.4,2.0,0.8,14.8,-0.4,1.0,94.0,117.8,-23.8,96.3,6.9,644.8,PG,74,0,0,0,0,0,0,0,14,0,0.137,1.4,0.5,0.0,12,19,0.387,-0.5,0.1,-0.4,GRUPO URETA TIZONA BURGOS
