#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
18,DESURE BUIE,NEP,37,28.4,13.6,4.8,10.6,0.449,1.8,5.1,0.362,2.3,2.4,0.933,0.6,2.2,2.8,6.2,1.4,0.2,2.0,2.3,29,0.584,0.536,174.4,2.7,10.1,6.3,38.5,14.6,2.6,0.8,22.3,7.7,1.3,122.9,118.3,4.5,432.0,18.0,1050.0,PG,9,3,0,0,0,0,2,0,33,0,0.37,3.1,0.7,0.2,14,23,0.378,2.5,1.1,3.6,NEPTUNAS
19,ALEXANDER KOVLYAR,TEC,45,26.4,13.6,5.0,11.7,0.424,1.6,5.3,0.308,2.0,2.6,0.746,0.3,1.8,2.1,5.2,1.1,0.0,2.2,2.6,58,0.526,0.494,147.8,1.5,9.0,5.2,36.3,14.6,2.2,0.0,26.7,4.9,1.2,109.6,112.5,-3.0,369.5,14.6,1187.2,PG,17,2,0,0,0,0,1,0,28,0,0.347,2.4,0.5,0.2,27,18,0.6,0.4,2.2,2.6,7BET-LIETKABELIS PANEVEZYS
20,LAURYNAS BELIAUSKAS,JUV,37,26.9,13.2,4.1,9.4,0.438,1.9,5.1,0.385,3.0,3.8,0.78,0.5,2.3,2.8,3.2,1.2,0.1,1.2,1.8,37,0.594,0.542,160.4,2.4,11.8,7.0,19.3,9.5,2.3,0.2,21.6,3.6,1.4,124.9,118.3,6.6,342.1,17.4,996.9,G,29,1,0,0,0,0,0,0,26,0,0.237,2.7,1.0,0.4,16,21,0.432,2.4,1.1,3.5,JUVENTUS
21,ANDREW ANDREWS,WOLV,34,23.7,13.1,3.4,8.1,0.422,1.8,4.3,0.415,4.5,5.1,0.874,0.3,1.5,1.9,3.4,0.5,0.1,2.0,3.4,52,0.632,0.532,171.1,1.9,8.5,5.3,23.7,15.9,1.1,0.3,24.8,1.1,1.6,123.4,125.5,-2.1,233.0,15.4,807.4,PG,46,0,0,0,0,0,0,0,26,0,0.229,1.7,0.3,0.6,19,15,0.559,2.1,0.1,2.2,WOLVES TWINSBET VILNIUS
22,FAHRUDIN MANJGAFIC,KED,9,28.1,13.0,4.4,9.4,0.471,1.9,5.0,0.378,2.2,2.9,0.769,0.7,3.1,3.8,1.2,0.3,0.4,0.6,2.9,67,0.607,0.571,161.8,2.8,15.9,8.7,8.8,4.9,0.7,1.9,18.9,0.9,1.4,123.4,124.1,-0.7,70.5,14.1,253.2,F,45,0,0,0,0,0,0,0,20,0,0.217,2.2,0.6,0.3,0,9,0.0,0.5,0.0,0.5,KEDAINIAI NEVEZIS
23,SHAQ BUCHANAN,SIA,36,28.1,12.8,4.9,9.3,0.529,0.7,2.6,0.255,2.4,3.4,0.697,0.9,2.6,3.5,4.1,1.3,0.4,2.3,2.6,49,0.596,0.565,148.1,4.3,11.9,8.2,23.4,17.7,2.3,1.8,21.0,1.4,1.4,114.6,122.2,-7.5,345.0,15.5,1010.8,G,12,2,0,0,0,0,0,0,23,0,0.279,1.8,0.5,0.4,13,23,0.361,1.0,0.6,1.6,SIAULIAI
24,LONNIE WALKER,ZAL,10,17.5,12.8,4.3,8.1,0.531,2.7,5.0,0.54,1.5,2.1,0.714,0.1,2.4,2.5,1.8,0.4,0.5,0.9,1.5,2,0.709,0.698,178.5,0.8,17.8,9.6,16.9,9.1,1.3,3.4,27.1,1.8,1.6,135.8,101.5,34.3,88.9,25.1,174.7,SG,51,0,0,0,0,0,0,0,21,0,0.178,2.0,0.4,0.3,10,0,1.0,0.8,0.6,1.4,ZALGIRIS
25,AZUOLAS TUBELIS,LIE,43,23.5,12.7,4.7,9.2,0.509,1.1,3.1,0.356,2.3,3.2,0.712,1.4,4.6,6.0,1.0,0.7,0.7,1.3,2.1,23,0.601,0.568,157.7,7.8,23.6,16.0,7.1,11.3,1.7,3.0,23.1,-2.8,1.4,118.7,107.5,11.2,410.9,18.5,1010.9,F,4,4,0,0,0,0,0,0,26,0,0.175,0.8,0.6,0.4,33,10,0.767,1.6,2.5,4.1,LIETUVOS RYTAS
26,VYTENIS CIZAUSKAS,MAZ,12,28.4,12.7,4.3,9.4,0.451,1.6,3.4,0.463,2.6,4.0,0.646,0.8,3.3,4.2,4.1,1.4,0.0,3.8,2.7,91,0.567,0.535,156.1,3.5,14.6,9.0,28.2,25.5,2.6,0.0,24.0,-3.8,1.3,96.5,127.5,-31.0,93.3,11.8,340.2,PG,70,0,0,0,0,0,0,0,20,0,0.315,1.1,0.4,0.4,0,12,0.0,-0.6,-0.1,-0.7,MAZEIKIAI
27,TYRONE WALLACE,ZAL,3,16.8,12.7,4.3,8.0,0.542,1.3,2.3,0.571,2.7,4.7,0.571,0.3,1.7,2.0,2.0,0.3,0.0,0.7,2.3,4,0.63,0.625,168.5,2.4,13.5,7.6,22.6,6.2,1.1,0.0,30.6,4.2,1.6,131.2,114.9,16.4,21.0,24.6,50.3,G,94,0,0,0,0,0,0,0,23,0,0.2,3.0,0.5,0.6,2,1,0.667,0.2,0.1,0.3,ZALGIRIS
