#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
43,TONYE JEKIRI,CSKA,53,19.2,10.7,3.5,6.2,0.568,0.1,0.2,0.417,3.5,4.3,0.8,1.8,3.4,5.2,1.0,0.7,0.4,0.9,2.1,4,0.654,0.576,178.5,12.7,21.1,17.2,9.3,10.0,1.9,2.3,22.5,-1.2,1.7,133.4,99.9,33.5,466.0,24.1,1016.6,C,16,2,0,0,0,0,0,0,22,0,0.151,1.1,0.7,0.7,44,9,0.83,5.4,2.6,8.0,CSKA MOSCOW
44,ALEXANDER GUDUMAK,SAM,14,24.3,10.5,3.9,8.3,0.474,1.0,3.0,0.333,1.6,1.8,0.92,1.7,3.1,4.8,1.6,0.7,0.9,1.5,3.1,52,0.579,0.534,172.7,9.1,16.9,12.9,12.9,14.2,1.6,3.8,20.6,-1.7,1.3,114.4,108.0,6.4,109.4,15.9,340.8,PF,105,0,0,0,0,0,0,0,20,0,0.203,1.1,0.5,0.2,6,8,0.429,0.8,0.4,1.2,SAMARA
45,GRIGORY MOTOVILOV,AST,25,26.1,10.4,3.3,8.7,0.381,0.9,3.0,0.289,2.9,3.7,0.774,0.4,2.0,2.4,4.5,0.5,0.0,3.8,2.4,141,0.502,0.431,144.4,1.8,9.7,5.8,37.9,27.0,1.0,0.2,27.2,-3.2,1.2,87.2,128.5,-41.3,108.4,8.3,653.7,SG,68,0,0,0,0,0,0,0,23,0,0.334,1.2,0.1,0.4,2,23,0.08,-1.7,-1.0,-2.8,ASTANA TIGERS
46,AMATH M'BAYE,CSKA,55,24.0,10.3,3.6,7.3,0.494,1.1,2.8,0.385,2.1,2.5,0.837,0.6,2.2,2.8,1.5,0.9,0.4,1.3,1.9,64,0.618,0.569,171.5,3.2,11.0,7.4,10.0,13.7,2.0,1.9,19.3,-1.5,1.4,116.5,102.7,13.8,366.4,15.2,1319.6,PF,32,1,0,0,0,0,0,0,20,0,0.167,1.1,0.7,0.3,46,9,0.836,2.8,2.8,5.6,CSKA MOSCOW
47,TAHJERE MCCALL,LOK,23,21.4,10.3,2.9,7.7,0.379,0.7,2.3,0.327,3.7,4.7,0.787,0.5,1.9,2.4,3.2,1.5,0.2,1.8,3.0,61,0.526,0.427,149.2,2.6,11.4,6.8,24.6,15.8,3.6,0.9,23.8,1.3,1.3,107.1,105.1,2.0,141.8,15.3,493.3,G,82,0,0,0,0,0,0,0,21,0,0.205,1.7,0.8,0.6,12,11,0.522,0.6,0.9,1.5,LOKOMOTIV KUBAN
48,AUBREY DAWKINS,NIZ,22,22.1,10.2,3.8,8.4,0.454,1.5,3.9,0.372,1.1,1.4,0.774,0.8,2.2,3.0,1.0,0.6,0.2,1.1,2.2,89,0.564,0.541,160.0,4.8,12.9,8.8,7.8,11.2,1.5,0.9,21.7,-2.3,1.2,109.6,111.8,-2.2,116.6,13.4,486.3,F,128,0,0,0,0,0,0,0,21,0,0.163,0.8,0.5,0.2,10,12,0.455,0.6,0.4,1.1,NIZHNY NOVGOROD
49,LIVIO JEAN-CHARLES,CSKA,54,18.8,10.1,4.0,6.4,0.627,0.0,0.1,0.167,2.0,3.0,0.677,1.8,2.3,4.1,1.1,0.5,0.5,1.0,2.0,10,0.653,0.629,147.1,13.1,15.0,14.1,10.8,11.3,1.6,3.0,22.0,-1.3,1.6,128.8,102.7,26.1,424.9,22.5,1016.1,SF,90,0,0,0,0,0,0,0,19,0,0.168,1.1,0.5,0.5,45,9,0.833,4.5,2.2,6.7,CSKA MOSCOW
50,OCTAVIUS ELLIS,URAL,16,21.0,10.1,3.4,7.3,0.47,0.0,0.3,0.0,3.2,4.4,0.718,0.9,4.1,5.1,1.7,0.4,0.9,1.8,3.1,73,0.543,0.47,118.8,6.1,23.2,15.2,16.9,16.4,1.0,4.1,25.0,-3.2,1.4,103.0,108.3,-5.4,104.6,14.5,336.5,PF,38,1,0,0,0,0,0,0,19,0,0.199,0.9,0.2,0.6,7,9,0.438,0.2,0.4,0.6,URALMASH
51,MAKAR KONOVALOV,MBA,42,24.9,10.0,3.2,8.8,0.369,1.1,3.5,0.32,2.4,3.3,0.727,0.4,1.3,1.7,5.1,0.7,0.4,2.1,3.2,106,0.488,0.432,141.5,2.0,6.9,4.3,39.4,16.8,1.5,1.5,23.5,5.3,1.1,102.7,114.2,-11.5,251.1,12.2,1045.7,PG,29,1,0,0,0,0,0,0,23,0,0.318,2.4,0.3,0.4,15,27,0.357,0.5,0.5,1.0,MBA MOSCOW
52,ALEX HAMILTON,NIZ,13,26.0,9.9,3.9,8.4,0.468,0.6,2.5,0.242,1.5,2.2,0.679,0.9,4.0,4.9,4.0,1.5,0.4,2.0,1.6,46,0.532,0.505,138.9,4.9,19.6,12.6,28.1,17.6,3.1,1.6,21.0,2.6,1.2,106.0,113.4,-7.4,127.3,16.3,338.2,G,171,0,0,0,0,0,0,0,20,0,0.284,2.0,0.7,0.3,3,10,0.231,0.3,0.2,0.5,NIZHNY NOVGOROD
