#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
135,LUCA VILDOZA,OLY,19,17.3,3.3,1.2,3.4,0.344,0.7,2.3,0.295,0.3,0.4,0.857,0.2,1.3,1.4,2.4,0.9,0.1,1.5,2.3,147,0.47,0.445,149.6,1.3,9.0,5.4,19.5,29.4,3.1,0.4,14.1,0.8,1.0,91.7,104.3,-12.6,48.9,6.0,328.5,PG,123,0,0,0,0,0,0,0,11,0,0.114,1.6,0.6,0.1,16,3,0.842,-0.4,0.7,0.4,OLYMPIACOS
136,GIORGOS GKIOUZELIS,ARI,23,12.9,3.2,1.1,2.7,0.413,0.6,1.8,0.31,0.3,0.5,0.667,0.5,1.2,1.7,0.5,0.4,0.0,0.8,1.5,146,0.535,0.516,138.9,4.3,11.1,7.6,6.0,21.8,1.8,0.0,13.4,-3.8,1.2,94.1,112.8,-18.7,37.0,6.0,297.7,FC,41,0,0,0,0,0,0,0,10,0,0.056,0.6,0.5,0.2,11,12,0.478,-0.2,0.3,0.1,ARIS MIDEA THESSALONIKI
137,VLADIMIR JANKOVIC,PER,14,11.3,2.9,0.9,2.5,0.343,0.2,0.7,0.3,1.0,1.6,0.636,1.2,1.2,2.4,1.4,0.6,0.0,0.5,1.4,82,0.459,0.386,127.9,13.7,13.6,13.7,21.5,13.5,2.8,0.0,16.1,4.1,1.2,113.4,117.3,-4.0,47.8,13.3,158.3,SF,59,0,0,0,0,0,0,0,7,0,0.086,2.9,1.1,0.6,5,9,0.357,0.2,0.1,0.3,PERISTERI BC
138,DIMITRIS FLIONIS,ATH,27,15.9,2.9,0.9,2.4,0.348,0.3,1.1,0.233,1.0,1.2,0.788,0.3,1.6,1.9,1.7,0.9,0.0,0.6,1.9,130,0.491,0.402,137.0,2.7,12.3,7.6,15.8,15.7,2.9,0.3,10.8,3.8,1.2,109.7,109.2,0.5,87.6,8.9,428.8,SG,151,0,0,0,0,0,0,0,11,0,0.086,3.1,1.5,0.5,17,10,0.63,0.3,0.7,0.9,AEK ATHENS
139,DIAMANTIS SLAFTSAKIS,KOL,23,13.0,2.9,1.0,2.2,0.48,0.3,0.8,0.368,0.5,0.7,0.647,0.6,1.9,2.5,1.0,0.6,0.2,0.5,1.4,101,0.574,0.55,149.5,5.2,18.3,11.6,11.5,17.3,2.6,1.6,11.1,0.9,1.3,117.2,108.6,8.5,79.6,11.7,298.5,PF,72,0,0,0,0,0,0,0,10,0,0.069,1.8,1.2,0.3,9,14,0.391,0.4,0.5,0.8,KOLOSSOS RODOU BC
140,IAKOVOS MILENTIGIEVITS ALIFIERIS,PAI,23,7.9,2.9,0.9,3.0,0.304,0.6,2.0,0.289,0.5,0.9,0.524,0.1,0.3,0.4,0.8,0.3,0.0,0.4,1.2,148,0.422,0.399,111.7,1.4,5.7,3.5,16.9,11.3,1.8,0.0,23.4,1.1,1.0,88.8,114.8,-26.0,14.9,5.6,181.4,G,85,0,0,0,0,0,0,0,14,0,0.059,1.8,0.6,0.3,9,14,0.391,-0.4,0.1,-0.3,PANIONIOS BC
141,ATHANASIOS BAZINAS,PROM,28,14.3,2.8,0.8,3.4,0.245,0.4,2.4,0.164,0.8,1.1,0.71,0.2,1.1,1.4,2.3,0.6,0.1,1.3,1.9,153,0.367,0.303,111.9,1.9,10.7,6.1,25.7,24.5,2.5,0.5,17.3,1.9,0.8,81.0,113.0,-32.0,49.9,4.3,399.0,PG,96,0,0,0,0,0,0,0,16,0,0.113,1.8,0.5,0.3,13,15,0.464,-1.1,0.4,-0.7,ASP PROMITHEAS PATRAS
142,VASSILIS CHRISTIDIS,KARD,21,9.5,2.6,1.0,2.0,0.488,0.0,0.0,0.0,0.7,1.3,0.536,1.2,0.6,1.8,0.4,0.3,0.1,0.4,1.7,108,0.516,0.488,102.4,16.0,7.1,11.5,7.8,13.0,1.7,1.2,14.7,-1.0,1.3,113.2,110.8,2.5,40.3,11.4,200.2,PF,66,0,0,0,0,0,0,0,13,0,0.051,1.1,0.8,0.7,11,10,0.524,0.3,0.3,0.5,AS KARDITSAS
143,PERIKLIS KOUROUPAKIS,KOL,17,5.6,2.4,0.8,1.5,0.5,0.0,0.0,0.0,0.8,1.4,0.609,0.5,1.1,1.6,0.1,0.1,0.0,0.2,1.1,72,0.554,0.5,110.9,10.8,23.8,17.0,1.7,10.0,1.2,0.0,19.8,-3.6,1.5,115.6,112.6,3.0,23.9,14.1,95.6,FC,155,0,0,0,0,0,0,0,9,0,0.028,0.3,0.5,0.9,6,11,0.353,0.2,0.1,0.3,KOLOSSOS RODOU BC
144,CHRISTOS SALOUSTROS,PAI,14,13.3,2.3,0.9,2.8,0.308,0.4,2.1,0.207,0.1,0.1,1.0,0.1,1.9,2.0,0.6,0.5,0.0,0.4,1.4,151,0.401,0.385,151.5,1.3,18.4,9.4,7.9,13.1,2.1,0.0,12.0,0.0,0.8,82.0,106.8,-24.9,23.5,4.7,185.9,F,87,0,0,0,0,0,0,0,11,0,0.055,1.5,1.2,0.1,4,10,0.286,-0.3,0.3,0.0,PANIONIOS BC
